iyear,imonth,country_txt,region_txt,attacktype1_txt,targtype1_txt,weaptype1_txt,nkill,nwound,latitude,longitude,gname
2014,9,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,1.0,31.363647,63.958611,Unknown
2017,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,3.0,2.0,35.857001,64.550338,Taliban
2013,2,Afghanistan,South Asia,Armed Assault,Government (General),Melee,1.0,0.0,34.77553,69.569211,Taliban
2011,5,Afghanistan,South Asia,Armed Assault,Terrorists/Non-State Militia,Firearms,5.0,0.0,37.181767,68.911301,Taliban
2016,9,Afghanistan,South Asia,Armed Assault,Police,Explosives,3.0,3.0,35.332262,69.025499,Taliban
2017,10,Afghanistan,South Asia,Armed Assault,Educational Institution,Firearms,2.0,0.0,36.191213,65.349871,Khorasan Chapter of the Islamic State
2016,7,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,20.0,0.0,36.966052,69.154126,Taliban
2014,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,24.0,2.0,35.673401,71.343098,Taliban
2012,5,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,0.0,33.316667,68.45,Taliban
2015,9,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,3.0,36.705776,68.87706,Taliban
2008,9,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,34.516895,69.147011,Taliban
2015,11,Afghanistan,South Asia,Armed Assault,Military,Explosives,9.0,5.0,36.2182,65.459403,Taliban
2008,8,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,33.49148,69.051051,Taliban
2017,4,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,1.0,32.984042,69.430782,Taliban
2017,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,1.0,35.81052,68.516959,Taliban
2010,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,5.0,0.0,33.42,68.294,Taliban
2014,12,Afghanistan,South Asia,Armed Assault,Police,Firearms,10.0,8.0,36.926913,66.250196,Taliban
2014,12,Afghanistan,South Asia,Armed Assault,Terrorists/Non-State Militia,Firearms,5.0,0.0,36.238528,64.868455,Taliban
2016,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,10.0,7.0,31.725003,61.63853,Taliban
2015,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,3.0,34.338022,63.367503,Taliban
2013,7,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,4.0,0.0,32.914211,66.568947,Unknown
2012,10,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,2.0,35.321953,69.025612,Taliban
2010,8,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,3.0,6.0,34.368889,69.218333,Unknown
2014,7,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,6.0,0.0,35.69206,64.295739,Taliban
2010,8,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,0.0,3.0,34.981057,69.621456,Taliban
2012,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,0.0,31.793202,64.684424,Unknown
2015,11,Afghanistan,South Asia,Armed Assault,Military,Firearms,11.0,14.0,35.810528,63.134632,Taliban
2013,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,11.0,0.0,30.24366,66.047174,Taliban
2017,3,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,1.0,34.215777,71.026005,Unknown
2015,6,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,31.631083,65.742226,Unknown
2014,9,Afghanistan,South Asia,Armed Assault,Police,Incendiary,0.0,0.0,31.972643,67.375665,Taliban
2015,1,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,1.0,32.073333,64.833889,Taliban
2015,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,1.0,33.33766,66.284319,Taliban
2011,6,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,34.276094,70.360248,Taliban
2012,4,Afghanistan,South Asia,Armed Assault,Military,Firearms,6.0,1.0,34.69786,70.835779,Taliban
2012,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,2.0,32.363889,64.781443,Taliban
2013,10,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,3.0,0.0,35.921051,64.774544,Unknown
2014,8,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,3.0,34.007712,68.714007,Unknown
2013,9,Afghanistan,South Asia,Armed Assault,Religious Figures/Institutions,Firearms,6.0,1.0,34.417122,70.449593,Unknown
2015,5,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,1.0,32.348492,64.772251,Taliban
2014,2,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,3.0,33.255239,62.251157,Unknown
2009,9,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,4.0,0.0,34.348889,63.177778,Taliban
2016,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,28.0,0.0,31.589827,64.337952,Taliban
2009,9,Afghanistan,South Asia,Armed Assault,Terrorists/Non-State Militia,Firearms,1.0,2.0,35.804295,69.287754,Unknown
2016,11,Afghanistan,South Asia,Armed Assault,Terrorists/Non-State Militia,Firearms,6.0,1.0,36.217655,65.933037,Taliban
2016,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,12.0,0.0,31.664218,64.26615,Taliban
2017,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,18.0,9.0,32.478078,62.038891,Taliban
2014,9,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,33.307049,62.136421,Unknown
2009,12,Afghanistan,South Asia,Armed Assault,Business,Firearms,0.0,0.0,34.583202,69.743225,Unknown
2016,2,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,1.0,36.676813,69.116304,Unknown
2016,10,Afghanistan,South Asia,Armed Assault,Military,Firearms,3.0,0.0,32.479167,65.498056,Taliban
2015,10,Afghanistan,South Asia,Armed Assault,Unknown,Firearms,3.0,0.0,33.907431,68.633332,Taliban
2016,4,Afghanistan,South Asia,Armed Assault,Religious Figures/Institutions,Firearms,1.0,1.0,36.466105,67.643974,Unknown
2016,8,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,2.0,0.0,36.096277,64.988601,Taliban
2013,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,3.0,0.0,36.901587,65.664425,Taliban
2010,5,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,5.0,0.0,33.449841,70.064041,Taliban
2017,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,0.0,33.662383,69.785643,Taliban
2013,12,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,1.0,35.070469,70.690048,Taliban
2015,5,Afghanistan,South Asia,Armed Assault,Military,Firearms,4.0,1.0,33.484167,62.392222,Taliban
2017,9,Afghanistan,South Asia,Armed Assault,Police,Explosives,2.0,2.0,35.007698,68.673138,Taliban
2012,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,3.0,2.0,31.517771,64.114227,Taliban
2016,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,30.0,5.0,33.8475,69.638612,Taliban
2015,1,Afghanistan,South Asia,Armed Assault,Business,Firearms,4.0,1.0,34.516895,69.147011,Taliban
2017,11,Afghanistan,South Asia,Armed Assault,Religious Figures/Institutions,Firearms,1.0,0.0,34.285919,70.117768,Taliban
2017,6,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,3.0,4.0,36.990141,69.397697,Taliban
2012,3,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Explosives,4.0,3.0,31.450236,65.349364,Unknown
2014,8,Afghanistan,South Asia,Armed Assault,Military,Melee,1.0,0.0,34.516895,69.147011,Taliban
2013,3,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,0.0,36.886995,66.397896,Taliban
2012,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,4.0,0.0,34.346722,62.197315,Unknown
2012,12,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,0.0,34.516895,69.147011,Unknown
2013,5,Afghanistan,South Asia,Armed Assault,Military,Firearms,3.0,0.0,31.442699,65.316368,Unknown
2017,9,Afghanistan,South Asia,Armed Assault,Police,Explosives,3.0,2.0,34.989573,68.729957,Taliban
2014,10,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,0.0,34.346722,62.197315,Taliban
2014,9,Afghanistan,South Asia,Armed Assault,Military,Firearms,9.0,10.0,34.920175,70.764424,Taliban
2016,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,3.0,33.534235,65.000854,Taliban
2015,1,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,0.0,32.61797,65.872375,Taliban
2008,6,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,14.0,5.0,31.713611,61.6225,Taliban
2012,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,0.0,36.474533,66.951162,Unknown
2016,7,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,67.0,23.0,33.531667,69.736033,Taliban
2017,7,Afghanistan,South Asia,Armed Assault,Military,Explosives,9.0,22.0,36.705776,68.87706,Taliban
2014,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,2.0,31.51716,64.114227,Taliban
2012,10,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,0.0,31.127028,64.205849,Taliban
2010,5,Afghanistan,South Asia,Armed Assault,Telecommunication,Unknown,0.0,1.0,36.217655,65.933037,Unknown
2013,1,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,3.0,33.305993,62.136955,Taliban
2016,2,Afghanistan,South Asia,Armed Assault,NGO,Firearms,0.0,2.0,32.018516,66.975122,Unknown
2013,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,3.0,34.452535,62.174314,Taliban
2015,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,36.0,23.0,33.816537,69.925475,Taliban
2015,11,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,33.549913,68.416723,Taliban
2017,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,4.0,0.0,31.573084,64.428911,Unknown
2014,2,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,1.0,31.353637,63.939571,Taliban
2009,9,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,5.0,0.0,35.030704,71.352135,Taliban
2015,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,5.0,2.0,32.192937,68.361139,Taliban
2015,12,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,1.0,34.110703,70.667123,Khorasan Chapter of the Islamic State
2015,8,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,0.0,33.326099,68.416649,Taliban
2014,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,2.0,32.503195,67.415893,Taliban
2013,9,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,33.307108,62.136476,Unknown
2016,7,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,20.0,0.0,36.910905,68.365954,Taliban
2015,4,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,0.0,1.0,33.907019,68.649436,Taliban
2016,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,11.0,8.0,31.557064,64.87709,Taliban
2014,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,5.0,6.0,34.967379,71.270315,Taliban
2012,3,Afghanistan,South Asia,Armed Assault,Religious Figures/Institutions,Melee,1.0,0.0,34.516895,69.147011,Unknown
2017,12,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,5.0,0.0,33.475039,68.484315,Taliban
2016,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,2.0,35.671547,65.138451,Taliban
2017,5,Afghanistan,South Asia,Armed Assault,Military,Firearms,3.0,5.0,32.863024,63.756833,Taliban
2012,12,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Melee,1.0,0.0,33.509963,70.121765,Taliban
2012,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,7.0,34.520927,65.253059,Taliban
2013,6,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,0.0,37.412919,66.046079,Unknown
2017,2,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,14.0,7.0,31.132534,64.212871,Taliban
2012,11,Afghanistan,South Asia,Armed Assault,Police,Firearms,8.0,12.0,34.674866,70.21344,Taliban
2015,9,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,3.0,2.0,33.521174,64.416621,Taliban
2017,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,14.0,16.0,34.126691,69.654379,Taliban
2015,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,5.0,0.0,34.472681,68.667803,Taliban
2012,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,2.0,32.677851,61.981391,Taliban
2014,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,0.0,36.101247,64.944718,Unknown
2015,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,4.0,8.0,37.383575,69.437706,Taliban
2012,3,Afghanistan,South Asia,Armed Assault,Police,Firearms,4.0,7.0,35.409873,71.338644,Taliban
2015,12,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,9.0,0.0,36.238394,64.863408,Taliban
2012,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,1.0,32.529027,66.712915,Taliban
2017,4,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,3.0,34.283562,69.883565,Taliban
2017,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,3.0,33.191262,68.089548,Taliban
2017,4,Afghanistan,South Asia,Armed Assault,Educational Institution,Firearms,1.0,0.0,34.434884,70.647555,Unknown
2013,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,6.0,3.0,32.37001,62.128456,Taliban
2009,9,Afghanistan,South Asia,Armed Assault,NGO,Firearms,1.0,1.0,35.116667,69.3,Unknown
2011,10,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,1.0,34.957444,70.753742,Unknown
2008,12,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,20.0,0.0,32.323203,64.811084,Taliban
2015,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,1.0,36.858713,65.849269,Taliban
2011,6,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,9.0,5.0,34.039444,70.93,Taliban
2012,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,3.0,0.0,32.073333,64.833889,Taliban
2014,4,Afghanistan,South Asia,Armed Assault,Military,Firearms,5.0,0.0,33.806906,69.911808,Unknown
2009,6,Afghanistan,South Asia,Armed Assault,Government (Diplomatic),Firearms,1.0,3.0,34.346722,62.197315,Taliban
2013,9,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,0.0,33.335258,69.928467,Unknown
2014,2,Afghanistan,South Asia,Armed Assault,Military,Firearms,4.0,4.0,34.853819,69.649623,Taliban
2014,8,Afghanistan,South Asia,Armed Assault,Police,Firearms,3.0,0.0,34.879167,69.672778,Taliban
2013,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,0.0,33.454197,67.696355,Unknown
2010,3,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,1.0,34.878511,63.340243,Taliban
2010,2,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,0.0,36.972222,69.163056,Taliban
2015,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,2.0,34.834032,71.121736,Taliban
2010,9,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,0.0,2.0,36.984239,67.046459,Taliban
2016,9,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,3.0,0.0,36.217655,65.933037,Taliban
2012,12,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,3.0,31.823601,64.564087,Unknown
2013,6,Afghanistan,South Asia,Armed Assault,Military,Explosives,5.0,0.0,32.629753,62.490807,Unknown
2015,3,Afghanistan,South Asia,Armed Assault,Police,Firearms,13.0,7.0,36.217655,65.933037,Taliban
2015,1,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,1.0,32.07265,64.833889,Taliban
2012,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,2.0,32.047646,65.012009,Taliban
2017,3,Afghanistan,South Asia,Armed Assault,Police,Firearms,16.0,5.0,32.493611,62.151667,Taliban
2016,11,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,0.0,34.969444,65.621667,Taliban
2015,10,Afghanistan,South Asia,Armed Assault,Military,Firearms,16.0,4.0,34.472681,68.667803,Taliban
2017,11,Afghanistan,South Asia,Armed Assault,Military,Firearms,9.0,1.0,31.662675,63.014758,Taliban
2015,5,Afghanistan,South Asia,Armed Assault,Military,Firearms,4.0,0.0,31.662674,63.014758,Taliban
2015,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,0.0,35.571247,64.429814,Taliban
2016,7,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,42.0,7.0,30.552623,63.78312,Taliban
2017,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,0.0,31.631083,65.742226,Unknown
2015,11,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,9.0,32.446464,62.145413,Taliban
2013,8,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,1.0,34.283562,69.883565,Taliban
2016,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,0.0,33.542622,68.415329,Unknown
2015,2,Afghanistan,South Asia,Armed Assault,Military,Firearms,3.0,1.0,35.225369,71.528625,Taliban
2014,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,40.0,0.0,33.821951,69.941614,Taliban
2017,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,7.0,0.0,36.6975,66.722222,Taliban
2015,5,Afghanistan,South Asia,Armed Assault,Military,Firearms,3.0,0.0,33.391974,62.257816,Taliban
2015,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,1.0,34.021194,68.999535,Taliban
2010,6,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,0.0,31.002735,66.405617,Unknown
2015,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,0.0,34.082172,70.667057,Khorasan Chapter of the Islamic State
2013,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,1.0,31.607109,65.634674,Taliban
2014,7,Afghanistan,South Asia,Armed Assault,Police,Explosives,3.0,5.0,36.66474,66.014383,Taliban
2012,2,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,2.0,31.002735,66.405617,Unknown
2013,4,Afghanistan,South Asia,Armed Assault,NGO,Firearms,2.0,2.0,36.681636,66.183958,Unknown
2017,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,5.0,8.0,32.986456,69.401119,Taliban
2014,1,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,3.0,33.335258,69.928467,Unknown
2015,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,8.0,0.0,31.63957,64.239832,Taliban
2013,4,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,0.0,34.27112,70.795845,Taliban
2013,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,0.0,33.304379,62.154194,Unknown
2012,12,Afghanistan,South Asia,Armed Assault,Police,Firearms,4.0,0.0,31.627475,65.564604,Taliban
2009,8,Afghanistan,South Asia,Armed Assault,NGO,Firearms,1.0,4.0,31.60063,64.369652,Taliban
2014,8,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,20.0,10.0,36.733333,68.866667,Taliban
2014,8,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,0.0,31.60063,64.369652,Unknown
2015,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,7.0,33.465069,68.538742,Taliban
2014,2,Afghanistan,South Asia,Armed Assault,Business,Firearms,3.0,4.0,34.790123,70.460021,Unknown
2016,3,Afghanistan,South Asia,Armed Assault,Police,Firearms,3.0,4.0,32.960653,65.507755,Taliban
2017,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,8.0,6.0,32.021965,65.112605,Taliban
2016,9,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,0.0,0.0,37.070849,71.123127,Taliban
2015,1,Afghanistan,South Asia,Armed Assault,Terrorists/Non-State Militia,Firearms,7.0,10.0,31.623036,65.054246,Taliban
2015,8,Afghanistan,South Asia,Armed Assault,Terrorists/Non-State Militia,Firearms,8.0,6.0,33.301018,68.405014,Taliban
2012,12,Afghanistan,South Asia,Armed Assault,Police,Firearms,3.0,0.0,35.673401,71.343098,Taliban
2017,3,Afghanistan,South Asia,Armed Assault,Religious Figures/Institutions,Firearms,1.0,0.0,34.352865,62.204029,Unknown
2013,12,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,1.0,35.070469,70.690048,Taliban
2016,7,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,4.0,1.0,33.004167,69.049336,Taliban
2012,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,1.0,31.637821,64.237801,Taliban
2009,3,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Explosives,0.0,1.0,34.553889,70.242778,Taliban
2012,5,Afghanistan,South Asia,Armed Assault,Military,Firearms,7.0,0.0,33.399635,68.355148,Taliban
2016,2,Afghanistan,South Asia,Armed Assault,Terrorists/Non-State Militia,Firearms,1.0,0.0,32.61797,65.872375,Taliban
2014,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,3.0,34.346722,62.197315,Unknown
2012,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,5.0,34.007198,68.714702,Taliban
2013,4,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,0.0,34.195901,70.589476,Unknown
2012,4,Afghanistan,South Asia,Armed Assault,Military,Firearms,15.0,0.0,34.699182,70.760904,Taliban
2008,7,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,3.0,32.264539,68.524715,Taliban
2011,2,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,0.0,31.631083,65.742226,Unknown
2014,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,4.0,8.0,36.098459,64.864461,Unknown
2015,7,Afghanistan,South Asia,Armed Assault,Police,Firearms,2.0,10.0,35.914894,68.547073,Taliban
2017,2,Afghanistan,South Asia,Armed Assault,Military,Explosives,32.0,31.0,35.649155,64.266974,Taliban
2010,6,Afghanistan,South Asia,Armed Assault,Government (Diplomatic),Firearms,0.0,0.0,31.467463,64.092445,Unknown
2015,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,1.0,33.425356,66.208038,Taliban
2015,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,0.0,36.781832,71.076543,Taliban
2016,11,Afghanistan,South Asia,Armed Assault,Military,Explosives,17.0,4.0,34.9925,71.419167,Taliban
2017,4,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,0.0,34.516895,69.147011,Unknown
2014,12,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,0.0,33.30563,62.156597,Taliban
2015,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,14.0,5.0,33.193665,68.102002,Taliban
2017,2,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,6.0,33.408889,68.211944,Taliban
2015,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,11.0,6.0,35.640884,63.309948,Unknown
2017,6,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,3.0,2.0,35.972369,69.764435,Taliban
2015,3,Afghanistan,South Asia,Armed Assault,Police,Firearms,7.0,0.0,31.823423,64.56727,Taliban
2010,5,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,1.0,1.0,31.631083,65.742226,Taliban
